originals	tokenized	transliterated	transliterated_common
labalobalói	l a b a l o b a l ó i	l a b a l o b a l o i	labalobaloi
pa ima hon	p a # i m a # h o n	p a # i m a # h o n	pa ima hon
naahapé	n a a h a p é	n a a h a p e	naahape
búnu	b ú n u	b u n u	bunu
mamunu	m a m u n u	m a m u n u	mamunu
pacahalé	p a c a h a l é	p a k a h a l e	pakahale
bulu sago	b u l u # s a g o	b u l u # s a j o	bulu sajo
		⁇	⁇
prururu èuba	p r u r u r u # è u b a	p r u r u r u # E u b a	prururu Euba
		⁇	⁇
gantúng	g a n t ú n g	j a n t u n j	jantunj
paraiá	p a r ai á	p a r a:i a	para:ia
		⁇	⁇
tangán	t a n g á n	t a n j a n	tanjan
ehoachia	e h o a ch i a	e h o a k i a	ehoakia
so	s o	s o	so
mamoiòp	m a m o i ò p	m a m o i O p	mamoiOp
chichía	ch i ch í a	k i k i a	kikia
		⁇	⁇
dan adon	d a n # a d o n	d a n # a d o n	dan adon
chèoba	ch è o b a	k E o b a	kEoba
olófo	o l ó f o	o l o f o	olofo
rapar	r a p a r	r a p a r	rapar
coignó	c o i gn ó	k o i ñ o	koiño
dodo bucala	d o d o # b u c a l a	d o d o # b u k a l a	dodo bukala
		⁇	⁇
cucubahu	c u c u b a h u	k u k u b a h u	kukubahu
dodo odufo dufo	d o d o # o d u f o # d u f o	d o d o # o d u f o # d u f o	dodo odufo dufo
manguwás	m a n g u w á s	m a n j u w a s	manjuwas
chibo	ch i b o	k i b o	kibo
fasóndra	f a s ó n d r a	f a s o n d r a	fasondra
manghinsadái	m a n g h i n s a d á i	m a n j h i n s a d a i	manjhinsadai
bacai	b a c ai	b a k a:i	baka:i
agombáva	a g o m b á v a	a j o m b a v a	ajombava
mangúmma	m a n g ú m m a	m a n j u m m a	manjumma
manu	m a n u	m a n u	manu
bumbèwe	b u m b è w e	b u m b E w e	bumbEwe
gumis	g u m i s	j u m i s	jumis
misè *	m i s è # *	m i s E # *	misE *
pruru ripodia	p r u r u # r i p o d i a	p r u r u # r i p o d i a	pruru ripodia
fasoro	f a s o r o	f a s o r o	fasoro
barang²	b a r a n g ²	b a r a n j ²	baranj²
dobu	d o b u	d o b u	dobu
mondri	m o n d r i	m o n d r i	mondri
maridi	m a r i d i	m a r i d i	maridi
baèche	b aè ch e	b a:e k e	ba:eke
ba’a vemóndri	b a ’ a # v e m ó n d r i	b a ' a # v e m o n d r i	ba'a vemondri
		⁇	⁇
ebo iaha baèche	e b o # i a h a # b aè ch e	e b o # i a h a # b a:e k e	ebo iaha ba:eke
manari	m a n a r i	m a n a r i	manari
manortòr	m a n o r t ò r	m a n o r t O r	manortOr
maenu cahora	m ae n u # c a h o r a	m a:e n u # k a h o r a	ma:enu kahora
maulèia	m au l è i a	m a:u l E i a	ma:ulEia
manortòr	m a n o r t ò r	m a n o r t O r	manortOr
maenu cahora	m ae n u # c a h o r a	m a:e n u # k a h o r a	ma:enu kahora
iraòno	i r aò n o	i r a:O n o	ira:Ono
dacdanac	d a c d a n a c	d a k d a n a k	dakdanak
pamo	p a m o	p a m o	pamo
epa	e p a	e p a	epa
léwu	l é w u	l e w u	lewu
bulu	b u l u	b u l u	bulu
abeha	a b e h a	a b e h a	abeha
cole²	c o l e ²	k o l e ²	kole²
poting	p o t i n g	p o t i n j	potinj
enoà	e n o à	e n o a	enoa
bae	b ae	b a:e	ba:e
gaol	g ao l	j a:o l	ja:ol
eígio	eí gi o	e:i c o	e:ico
gozo	g o z o	j o z o	jozo
haráng	h a r á n g	h a r a n j	haranj
eèa	e è a	e E a	eEa
fatucao	f a t u c ao	f a t u k a:o	fatuka:o
paubahon	p au b a h o n	p a:u b a h o n	pa:ubahon
pachèli	p a ch è l i	p a k E l i	pakEli
		⁇	⁇
giangút	gi a n g ú t	c a n j u t	canjut
prururu ipo	p r u r u r u # i p o	p r u r u r u # i p o	prururu ipo
gambi	g a m b i	j a m b i	jambi
giangút	gi a n g ú t	c a n j u t	canjut
prururu chidía	p r u r u r u # ch i d í a	p r u r u r u # k i d i a	prururu kidia
rongo	r o n g o	r o n j o	ronjo
banc	b a n c	b a n k	bank
		⁇	⁇
dundráha	d u n d r á h a	d u n d r a h a	dundraha
sòlu	s ò l u	s O l u	sOlu
elòha	e l ò h a	e l O h a	elOha
owo solòio	o w o # s o l òi o	o w o # s o l o:i o	owo solo:io
pindís	p i n d í s	p i n d i s	pindis
		⁇	⁇
noá	n o á	n o a	noa
sappè	s a p p è	s a p p E	sappE
abacochía	a b a c o ch í a	a b a k o k i a	abakokia
tobono	t o b o n o	t o b o n o	tobono
pala	p a l a	p a l a	pala
abóha	a b ó h a	a b o h a	aboha
sochi	s o ch i	s o k i	soki
dengán	d e n g á n	d e n j a n	denjan
cáua	c á u a	k a u a	kaua
famadu	f a m a d u	f a m a d u	famadu
manhinúm	m a n h i n ú m	m a n h i n u m	manhinum
baigiòho	b ai gi ò h o	b a:i c O h o	ba:icOho
afusi	a f u s i	a f u s i	afusi
bottar	b o t t a r	b o t t a r	bottar
caudáhio	c au d á h i o	k a:u d a h i o	ka:udahio
bava	b a v a	b a v a	bava
bawa	b a w a	b a w a	bawa
eca	e c a	e k a	eka
aia mbulocha	ai a # m b u l o c h a	a:i a # m b u l o k h a	a:ia mbulokha
lèang	l è a n g	l E a n j	lEanj
chinacò	ch i n a c ò	k i n a k O	kinakO
siu	s i u	s i u	siu
gólang	g ó l a n g	j o l a n j	jolanj
apo	a p o	a p o	apo
earahaori	e a r a h ao r i	e a r a h a:o r i	earaha:ori
uhalo	u h a l o	u h a l o	uhalo
haghi iòt	h a g h i # i ò t	h a j h i # i O t	hajhi iOt
ra	r a	r a	ra
cahápi	c a h á p i	k a h a p i	kahapi
otu²	o t u ²	o t u ²	otu²
manghirgir	m a n g h i r gi r	m a n j h i r c r	manjhircr
eoho	e o h o	e o h o	eoho
acògi	a c ò gi	a k O c	akOc
masac	m a s a c	m a s a k	masak
gor	g o r	j o r	jor
bachíco	b a ch í c o	b a k i k o	bakiko
atunu	a t u n u	a t u n u	atunu
matutúng	m a t u t ú n g	m a t u t u n j	matutunj
cachíco	c a ch í c o	k a k i k o	kakiko
lo sochi	l o # s o ch i	l o # s o k i	lo soki
dae	d ae	d a:e	da:e
chioha	ch i o h a	k i o h a	kioha
latogi	l a t o gi	l a t o c	latoc
manombúe	m a n o m b ú e	m a n o m b u e	manombue
caricu cariahadía	c a r i c u # c a r i a h a d í a	k a r i k u # k a r i a h a d i a	kariku kariahadia
agomigómi	a g o m i g ó m i	a j o m i j o m i	ajomijomi
bot	b o t	b o t	bot
capòpo elòpo	c a p ò p o # e l ò p o	k a p O p o # e l O p o	kapOpo elOpo
sochi	s o ch i	s o k i	soki
dengán	d e n g á n	d e n j a n	denjan
cáua	c á u a	k a u a	kaua
		⁇	⁇
mandangurhón	m a n d a n g u r h ó n	m a n d a n j u r h o n	mandanjurhon
epacúa	e p a c ú a	e p a k u a	epakua
memòlo	m e m ò l o	m e m O l o	memOlo
marburu	m a r b u r u	m a r b u r u	marburu
bacocòi ebèo iahiacúe	b a c o c òi # e b è o # i a h i a c ú e	b a k o k o:i # e b E o # i a h i a k u e	bakoko:i ebEo iahiakue
cabacocòi ba buru còio	c a b a c o c òi # b a # b u r u # c òi o	k a b a k o k o:i # b a # b u r u # k o:i o	kabakoko:i ba buru ko:io
aèchu	aè c h u	a:e k h u	a:ekhu
madabu	m a d a b u	m a d a b u	madabu
capunda	c a p u n d a	k a p u n d a	kapunda
aucu	au c u	a:u k u	a:uku
las	l a s	l a s	las
cadodohodi	c a d o d o h o d i	k a d o d o h o d i	kadodohodi
famoro salo	f a m o r o # s a l o	f a m o r o # s a l o	famoro salo
mamolnat	m a m o l n a t	m a m o l n a t	mamolnat
chichidi	ch i ch i d i	k i k i d i	kikidi
lala	l a l a	l a l a	lala
		⁇	⁇
ecò	e c ò	e k O	ekO
		⁇	⁇
ladang	l a d a n g	l a d a n j	ladanj
gimma	gi m m a	c m m a	cmma
epíia	e p í i a	e p i i a	epiia
asso	a s s o	a s s o	asso
asu	a s u	a s u	asu
eapí	e a p í	e a p i	eapi
ebèo	e b è o	e b E o	ebEo
tòbu	t ò b u	t O b u	tObu
tobu	t o b u	t o b u	tobu
enaio	e n ai o	e n a:i o	ena:io
fanúno	f a n ú n o	f a n u n o	fanuno
ende	e n d e	e n d e	ende
bahora	b a h o r a	b a h o r a	bahora
bu	b u	b u	bu
obu	o b u	o b u	obu
pruru ulu	p r u r u # u l u	p r u r u # u l u	pruru ulu
pruru uru	p r u r u # u r u	p r u r u # u r u	pruru uru
dodo moi	d o d o # m o i	d o d o # m o i	dodo moi
mangantusi	m a n g a n t u s i	m a n j a n t u s i	manjantusi
pahoiá	p a h o i á	p a h o i a	pahoia
lofo	l o f o	l o f o	lofo
haleon	h a l e o n	h a l e o n	haleon
chèoba eonai mèhe	ch è o b a # e o n ai # m è h e	k E o b a # e o n a:i # m E h e	kEoba eona:i mEhe
