originals	toba_batak_TOKEN	toba_batak_TRANSLITERATED	toba_batak_COMMON
doli	d o l i	d o l i	doli
		⁇	⁇
mangiadihón	m a n gi a d i h ó n	m a n c a d i x o n	mancadixon
		⁇	⁇
arun	a r u n	a r u n	arun
tuwa	t u w a	t u w a	tuwa
mamugadi	m a m u g a d i	m a m u j a d i	mamujadi
bugáng	b u g á n g	b u j a n j	bujanj
matsohòt	m a t s o h ò t	m a t s o h O t	matsohOt
maradían	m a r a d í a n	m a r a d i a n	maradian
bòsi	b ò s i	b O s i	bOsi
fasic	f a s i c	f a s i k	fasik
gorgòr	g o r g ò r	j o r j O r	jorjOr
anac	a n a c	a n a k	anak
bunga	b u n g a	b u n j a	bunja
pasáng	p a s á n g	p a s a n j	pasanj
pasáng	p a s á n g	p a s a n j	pasanj
muwara	m u w a r a	m u w a r a	muwara
		⁇	⁇
harangan	h a r a n g a n	h a r a n j a n	haranjan
ra	r a	r a	ra
atic	a t i c	a t i k	atik
agasan	a g a s a n	a j a s a n	ajasan
gogo	g o g o	j o j o	jojo
iboto	i b o t o	i b o t o	iboto
haha	h a h a	h a h a	haha
angghi	a n g g h i	a n j j h i	anjjhi
naccat	n a cc a t	n a k a t	nakat
ngali	n g a l i	n j a l i	njali
par dompác an	p a r # d o m p á c # a n	p a r # d o m p a k # a n	par dompak an
parbuwe	p a r b u w e	p a r b u w e	parbuwe
manhisáp	m a n h i s á p	m a n h i s a p	manhisap
timús	t i m ú s	t i m u s	timus
apí	a p í	a p i	api
mánuc	m á n u c	m a n u k	manuk
		⁇	⁇
bapúng	b a p ú n g	b a p u n j	bapunj
bapúng	b a p ú n g	b a p u n j	bapunj
manghimburu	m a n g h i m b u r u	m a n j h i m b u r u	manjhimburu
nunga	n u n g a	n u n j a	nunja
nunga	n u n g a	n u n j a	nunja
ulu ni tot	u l u # n i # t o t	u l u # n i # t o t	ulu ni tot
ulu ni tot	u l u # n i # t o t	u l u # n i # t o t	ulu ni tot
hari	h a r i	h a r i	hari
poso	p o s o	p o s o	poso
di tóru	d i # t ó r u	d i # t o r u	di toru
manabas	m a n a b a s	m a n a b a s	manabas
suhi²	s u h i ²	s u h i ²	suhi²
		⁇	⁇
		⁇	⁇
balga	b a l g a	b a l j a	balja
marmuus	m a r m u u s	m a r m u u s	marmuus
nattowari	n a t t o w a r i	n a t t o w a r i	nattowari
		⁇	⁇
manggowarhón	m a n g g o w a r h ó n	m a n j j o w a r h o n	manjjowarhon
si tu mudu	s i # t u # m u d u	s i # t u # m u d u	si tu mudu
		⁇	⁇
golut	g o l u t	j o l u t	jolut
mangatsi	m a n g a t s i	m a n j a t s i	manjatsi
rap	r a p	r a p	rap
di inganán	d i # i n g a n á n	d i # i n j a n a n	di injanan
lòmo	l ò m o	l O m o	lOmo
au	au	a:u	a:u
ahu	a h u	a h u	ahu
pulo	p u l o	p u l o	pulo
disi	d i s i	d i s i	disi
bibir	b i b i r	b i b i r	bibir
bibir	b i b i r	b i b i r	bibir
ilu	i l u	i l u	ilu
sacsíc	s a c s í c	s a k s i k	saksik
húgiur	h ú gi u r	h u c u r	hucur
bolac	b o l a c	b o l a k	bolak
dadi	d a d i	d a d i	dadi
pande	p a n d e	p a n d e	pande
sowada borat	s o w a d a # b o r a t	s o w a d a # b o r a t	sowada borat
háiu	h á i u	h a i u	haiu
asoc	a s o c	a s o k	asok
dila	d i l a	d i l a	dila
dila	d i l a	d i l a	dila
dao	d ao	d a:o	da:o
tu nasida	t u # n a s i d a	t u # n a s i d a	tu nasida
nasida	n a s i d a	n a s i d a	nasida
bulán	b u l á n	b u l a n	bulan
gandgiáng	g a n d gi á n g	j a n d c a n j	jandcanj
alai	a l ai	a l a:i	ala:i
rotac	r o t a c	r o t a k	rotak
ina	i n a	i n a	ina
sowada hapal	s o w a d a # h a p a l	s o w a d a # h a p a l	sowada hapal
sahít	s a h í t	s a h i t	sahit
manongós	m a n o n g ó s	m a n o n j o s	manonjos
mangán	m a n g á n	m a n j a n	manjan
mangán	m a n g á n	m a n j a n	manjan
		⁇	⁇
tangán	t a n g á n	t a n j a n	tanjan
laut	l au t	l a:u t	la:ut
marhubaio	m a r h u b ai o	m a r h u b a:i o	marhuba:io
amáng²	a m á n g ²	a m a n j ²	amanj²
sogót	s o g ó t	s o j o t	sojot
masáh	m a s á h	m a s a h	masah
daon	d ao n	d a:o n	da:on
tambar	t a m b a r	t a m b a r	tambar
si tuwalang	s i # t u w a l a n g	s i # t u w a l a n j	si tuwalanj
nuráng	n u r á n g	n u r a n j	nuranj
margapgápi	m a r g a p g á p i	m a r j a p j a p i	marjapjapi
isáng	i s á n g	i s a n j	isanj
itíng	i t í n g	i t i n j	itinj
itíng	i t í n g	i t i n j	itinj
tonga	t o n g a	t o n j a	tonja
anac ni tangán	a n a c # n i # t a n g á n	a n a k # n i # t a n j a n	anak ni tanjan
		⁇	⁇
mangasupi	m a n g a s u p i	m a n j a s u p i	manjasupi
