originals	nias_TOKEN	nias_TRANSLITERATED	nias_COMMON
sináli	s i n á l i	s i n a l i	sinali
sináli	s i n á l i	s i n a l i	sinali
undro nidano	u n d r o # n i d a n o	u n d r o # n i d a n o	undro nidano
undro nidano	u n d r o # n i d a n o	u n d r o # n i d a n o	undro nidano
		⁇	⁇
		⁇	⁇
mano	m a n o	m a n o	mano
binu	b i n u	b i n u	binu
wole²	w o l e ²	w o l e ²	wole²
sataha	s a t a h a	s a t a h a	sataha
fondrino	f o n d r i n o	f o n d r i n o	fondrino
dodo	d o d o	d o d o	dodo
mameé	m a m e é	m a m e e	mamee
ifo	i f o	i f o	ifo
si bacha	s i # b a c h a	s i # b a k h a	si bakha
furi	f u r i	f u r i	furi
sameèli	s a m e è l i	s a m e E l i	sameEli
olifu	o l i f u	o l i f u	olifu
imané	i m a n é	i m a n e	imane
lo asèse	l o # a s è s e	l o # a s E s e	lo asEse
fasondrata	f a s o n d r a t a	f a s o n d r a t a	fasondrata
tòla	t ò l a	t O l a	tOla
faroi	f a r o i	f a r o i	faroi
ami	a m i	a m i	ami
fanaha	f a n a h a	f a n a h a	fanaha
fanaha	f a n a h a	f a n a h a	fanaha
maemòlu	m ae m ò l u	m a:e m O l u	ma:emOlu
alave	a l a v e	a l a v e	alave
dania	d a n i a	d a n i a	dania
moro	m o r o	m o r o	moro
moro	m o r o	m o r o	moro
moro	m o r o	m o r o	moro
hulu	h u l u	h u l u	hulu
heza	h e z a	h e z a	heza
ia	i a	i a	ia
andro	a n d r o	a n d r o	andro
famègo	f a m è g o	f a m E j o	famEjo
duu	d u u	d u u	duu
manema gondròita	m a n e m a # g o n d r òi t a	m a n e m a # j o n d r o:i t a	manema jondro:ita
so	s o	s o	so
mofocho	m o f o c h o	m o f o k h o	mofokho
bunú alito	b u n ú # a l i t o	b u n u # a l i t o	bunu alito
bava	b a v a	b a v a	bava
olofo	o l o f o	o l o f o	olofo
ono	o n o	o n o	ono
ono	o n o	o n o	ono
tai	t ai	t a:i	ta:i
mamazochi	m a m a z o ch i	m a m a z o k i	mamazoki
		⁇	⁇
achomo	a c h o m o	a k h o m o	akhomo
casana	c a s a n a	k a s a n a	kasana
mafocho	m a f o c h o	m a f o k h o	mafokho
socho	s o c h o	s o k h o	sokho
mamato	m a m a t o	m a m a t o	mamato
tráfa	t r á f a	t r a f a	trafa
siòli	s i ò l i	s i O l i	siOli
siòli sohòwu	s i ò l i # s o h ò w u	s i O l i # s o h O w u	siOli sohOwu
hohahòla	h o h a h ò l a	h o h a h O l a	hohahOla
ono	o n o	o n o	ono
bowo	b o w o	b o w o	bowo
ebu lowo	e b u # l o w o	e b u # l o w o	ebu lowo
ebu lowo	e b u # l o w o	e b u # l o w o	ebu lowo
luaha	l u a h a	l u a h a	luaha
auri	au r i	a:u r i	a:uri
atúa	a t ú a	a t u a	atua
taila	t ai l a	t a:i l a	ta:ila
taila	t ai l a	t a:i l a	ta:ila
abolobolo	a b o l o b o l o	a b o l o b o l o	abolobolo
abolobolo	a b o l o b o l o	a b o l o b o l o	abolobolo
talifusso	t a l i f u s s o	t a l i f u s s o	talifusso
talifusso	t a l i f u s s o	t a l i f u s s o	talifusso
talifusso	t a l i f u s s o	t a l i f u s s o	talifusso
		⁇	⁇
oafu	o a f u	o a f u	oafu
angango	a n g a n g o	a n j a n j o	anjanjo
bua	b u a	b u a	bua
manga ròco	m a n g a # r ò c o	m a n j a # r O k o	manja rOko
		⁇	⁇
alito	a l i t o	a l i t o	alito
manu	m a n u	m a n u	manu
		⁇	⁇
mao	m ao	m a:o	ma:o
mao	m ao	m a:o	ma:o
olohu	o l o h u	o l o h u	olohu
nòa	n ò a	n O a	nOa
nòa	n ò a	n O a	nOa
balu duhi	b a l u # d u h i	b a l u # d u h i	balu duhi
balu duhi	b a l u # d u h i	b a l u # d u h i	balu duhi
sara sibaia	s a r a # s i b ai a	s a r a # s i b a:i a	sara siba:ia
awúgiu	a w ú gi u	a w u c u	awucu
tou	t ou	t o:u	to:u
moi ba holu	m o i # b a # h o l u	m o i # b a # h o l u	moi ba holu
talinga ziu	t a l i n g a # z i u	t a l i n j a # z i u	talinja ziu
boo	b o o	b o o	boo
boo	b o o	b o o	boo
ebúa	e b ú a	e b u a	ebua
fanúwo	f a n ú w o	f a n u w o	fanuwo
menéwi	m e n é w i	m e n e w i	menewi
moi ba owo	m o i # b a # o w o	m o i # b a # o w o	moi ba owo
fondra u anaa	f o n d r a # u # a n a a	f o n d r a # u # a n a a	fondra u anaa
turu lúo	t u r u # l ú o	t u r u # l u o	turu luo
		⁇	⁇
rumiri	r u m i r i	r u m i r i	rumiri
falimo	f a l i m o	f a l i m o	falimo
awo	a w o	a w o	awo
fatua	f a t u a	f a t u a	fatua
dodo afocho	d o d o # a f o c h o	d o d o # a f o k h o	dodo afokho
iao	i ao	i a:o	ia:o
iao	i ao	i a:o	ia:o
fulu	f u l u	f u l u	fulu
bada o	b a d a # o	b a d a # o	bada o
bewe	b e w e	b e w e	bewe
bewe	b e w e	b e w e	bewe
idano horo	i d a n o # h o r o	i d a n o # h o r o	idano horo
