originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
eia heniène	ei a # h e n i è n e	e:i a # h e n i E n e	e:ia heniEne
apari echia	a p a r i # e ch i a	a p a r i # e k i a	apari ekia
pachinunái	p a ch i n u n á i	p a k i n u n a i	pakinunai
èoli	è o l i	E o l i	Eoli
bacòia poco	b a c òi a # p o c o	b a k o:i a # p o k o	bako:ia poko
pahorai	p a h o r ai	p a h o r a:i	pahora:i
lole²	l o l e ²	l o l e ²	lole²
chèoba mahò	ch è o b a # m a h ò	k E o b a # m a h O	kEoba mahO
bahoio	b a h o i o	b a h o i o	bahoio
bahoio	b a h o i o	b a h o i o	bahoio
ebò chèoba elà eodia	e b ò # ch è o b a # e l à # e o d i a	e b O # k E o b a # e l a # e o d i a	ebO kEoba ela eodia
ebò chèoba elà eodia	e b ò # ch è o b a # e l à # e o d i a	e b O # k E o b a # e l a # e o d i a	ebO kEoba ela eodia
eiah enione	ei a h # e n i o n e	e:i a h # e n i o n e	e:iah enione
eapalà	e a p a l à	e a p a l a	eapala
enoaha	e n o a h a	e n o a h a	enoaha
eae euluca	e ae # e u l u c a	e a:e # e u l u k a	ea:e euluka
eae euluca	e ae # e u l u c a	e a:e # e u l u k a	ea:e euluka
chibaca	ch i b a c a	k i b a k a	kibaka
manaco	m a n a c o	m a n a k o	manako
echitèi	e ch i t è i	e k i t E i	ekitEi
peionia	p ei o n i a	p e:i o n i a	pe:ionia
eauca	e au c a	e a:u k a	ea:uka
di poco	d i # p o c o	d i # p o k o	di poko
cahapò	c a h a p ò	k a h a p O	kahapO
cuhai	c u h ai	k u h a:i	kuha:i
caabu	c a a b u	k a a b u	kaabu
pecuaba	p e c u a b a	p e k u a b a	pekuaba
		⁇	⁇
chèoba nene igidia	ch è o b a # n e n e # i gi d i a	k E o b a # n e n e # i c d i a	kEoba nene icdia
odohoda	o d o h o d a	o d o h o d a	odohoda
capacoa	c a p a c o a	k a p a k o a	kapakoa
camoni	c a m o n i	k a m o n i	kamoni
peeò	p e e ò	p e e O	peeO
peeò	p e e ò	p e e O	peeO
naomana	n ao m a n a	n a:o m a n a	na:omana
cahoda	c a h o d a	k a h o d a	kahoda
naapé	n a a p é	n a a p e	naape
euho	e u h o	e u h o	euho
cauho	c au h o	k a:u h o	ka:uho
bauho	b au h o	b a:u h o	ba:uho
cahapò	c a h a p ò	k a h a p O	kahapO
gno ò	gn o # ò	ñ o # O	ño O
chia	ch i a	k i a	kia
chia	ch i a	k i a	kia
cahepaco	c a h e p a c o	k a h e p a k o	kahepako
pucuma	p u c u m a	p u k u m a	pukuma
mai	m ai	m a:i	ma:i
chichia	ch i ch i a	k i k i a	kikia
capucho	c a p u c h o	k a p u k h o	kapukho
dipuru	d i p u r u	d i p u r u	dipuru
baca	b a c a	b a k a	baka
coignò	c o i gn ò	k o i ñ O	koiñO
ara	a r a	a r a	ara
ara	a r a	a r a	ara
canenonèno	c a n e n o n è n o	k a n e n o n E n o	kanenonEno
pari	p a r i	p a r i	pari
		⁇	⁇
