ID,PAGE,TYPE,ITALIAN,MALAY,NIAS,TOBA_BATAK,ENGGANO,MALAY_1,NIAS_1,TOBA_BATAK_1,ENGGANO_1,NIAS_1_rm,TOBA_BATAK_1_sem,TOBA_BATAK_1_rm,ENGGANO_1_sem,ENGGANO_1_rm,REMARK,TOBA_BATAK_SOURCE,nias_TOKEN,nias_TRANSLITERATED,nias_COMMON,toba_batak_TOKEN,toba_batak_TRANSLITERATED,toba_batak_COMMON,ENO_TOKEN,ENO_TRANSLITERATED,ENO_COMMON
302,272,word,Insidia,De<i>ng</i>chi,D<i>o</i>d<i>o</i> afocho,Lòmo,Uachepi,Dengchi,Dodo afocho,Lòmo,Uachepi,,,,,,,J. S. A. Van Dissel,d o d o # a f o c h o,d o d o # a f o k h o,dodo afokho,l ò m o,l O m o,lOmo,u a ch e p i,u a k e p i,uakepi
303,272,word,Io,Saia,Iao,Au,Ua,Saia,Iao,Au,Ua,,,,,,,,i ao,i a:o,ia:o,au,a:u,a:u,u a,u a,ua
304,272,word,Io,Saia,Iao,Ahu,Ua,Saia,Iao,Ahu,Ua,,,,,,,,i ao,i a:o,ia:o,a h u,a h u,ahu,u a,u a,ua
305,272,word,Isola,Pulu,Fulu,Pulo,Chèfu,Pulu,Fulu,Pulo,Chèfu,,,,,,,,f u l u,f u l u,fulu,p u l o,p u l o,pulo,ch è f u,k E f u,kEfu
306,272,word,Là,Di sana,Bada <i>o</i>,Disi,Iò,Di sana,Bada o,Disi,Iò,,,,,,,J. S. A. Van Dissel,b a d a # o,b a d a # o,bada o,d i s i,d i s i,disi,i ò,i O,iO
307,272,word,Labbra,Bibír,Be<i>w</i>e,Bibir,Eochitipo,Bibír,Bewe,Bibir,Eochitipo,,,,,,,J. S. A. Van Dissel,b e w e,b e w e,bewe,b i b i r,b i b i r,bibir,e o ch i t i p o,e o k i t i p o,eokitipo
308,272,word,Labbra,Bibír,Be<i>w</i>e,Bibir,Curirifò,Bibír,Bewe,Bibir,Curirifò,,,,,,,J. S. A. Van Dissel,b e w e,b e w e,bewe,b i b i r,b i b i r,bibir,c u r i r i f ò,k u r i r i f O,kuririfO
309,272,word,Lacrima,Aier mata,Idano h<i>o</i>r<i>o</i>,Ilu,,Aier mata,Idano horo,Ilu,,,,,,,,J. S. A. Van Dissel,i d a n o # h o r o,i d a n o # h o r o,idano horo,i l u,i l u,ilu,,⁇,⁇
310,272,word,Lampo,Chilát,Gari mbanúa,Sacsíc,,Chilát,Gari mbanúa,Sacsíc,,,,,,,,,g a r i # m b a n ú a,j a r i # m b a n u a,jari mbanua,s a c s í c,s a k s i k,saksik,,⁇,⁇
311,272,word,Lancia,Tumbac,Toho,Húgiur,Ecaio,Tumbac,Toho,Húgiur,Ecaio,,,,,,,,t o h o,t o h o,toho,h ú gi u r,h u c u r,hucur,e c ai o,e k a:i o,eka:io
312,272,word,Largo,Lebar,Ebólo,Bolac,Aehepòho,Lebar,Ebólo,Bolac,Aehepòho,,,,,,,J. S. A. Van Dissel,e b ó l o,e b o l o,ebolo,b o l a c,b o l a k,bolak,ae h e p ò h o,a:e h e p O h o,a:ehepOho
313,272,word,Latte,Susu,Idano meme,Dadi,Coco,Susu,Idano meme,Dadi,Coco,,,,,,,J. S. A. Van Dissel,i d a n o # m e m e,i d a n o # m e m e,idano meme,d a d i,d a d i,dadi,c o c o,k o k o,koko
314,272,word,Lavorare,Cregia,Hal<i>o</i>w<i>o</i>,Pande,Cobabarí,Cregia,Halowo,Pande,Cobabarí,,,,,,,,h a l o w o,h a l o w o,halowo,p a n d e,p a n d e,pande,c o b a b a r í,k o b a b a r i,kobabari
315,273,word,Leggiero,Entè<i>ng</i>,Caòcha,Sowada borat,Cahau,Entèng,Caòcha,Sowada borat,Cahau,,,,,,,J. S. A. Van Dissel,c aò c h a,k a:O k h a,ka:Okha,s o w a d a # b o r a t,s o w a d a # b o r a t,sowada borat,c a h au,k a h a:u,kaha:u
316,273,word,Legno,Caiú,Eu,Háiu,Cuo,Caiú,Eu,Háiu,Cuo,,,,,,,,e u,e u,eu,h á i u,h a i u,haiu,c u o,k u o,kuo
317,273,word,Lento,Lambát,Ahoho,Asoc,Chèoba pohai paniha,Lambát,Ahoho,Asoc,Chèoba pohai paniha,,,,,,,J. S. A. Van Dissel,a h o h o,a h o h o,ahoho,a s o c,a s o k,asok,ch è o b a # p o h ai # p a n i h a,k E o b a # p o h a:i # p a n i x a,kEoba poha:i panixa
318,273,word,Lingua,Lida,Lèla,Dila,Erio,Lida,Lèla,Dila,Erio,,,,,,,,l è l a,l E l a,lEla,d i l a,d i l a,dila,e r i o,e r i o,erio
319,273,word,Lingua,Lida,Lèla,Dila,Eliho,Lida,Lèla,Dila,Eliho,,,,,,,,l è l a,l E l a,lEla,d i l a,d i l a,dila,e l i h o,e l i x o,elixo
320,273,word,Lontano,Giau,Ar<i>o</i>u,Dao,Mimina,Giau,Arou,Dao,Mimina,,,,,,,,a r ou,a r o:u,aro:u,d ao,d a:o,da:o,m i m i n a,m i m i n a,mimina
321,273,word,Loro (Pron. Poss.),Dia punia,Ra,Tu nasida,Chidara,Dia punia,Ra,Tu nasida,Chidara,,,,,,,J. S. A. Van Dissel,r a,r a,ra,t u # n a s i d a,t u # n a s i d a,tu nasida,ch i d a r a,k i d a r a,kidara
322,273,word,Loro (Pron. Pers.),,,Nasida,,,,Nasida,,,,,,,,,,⁇,⁇,n a s i d a,n a s i d a,nasida,,⁇,⁇
323,273,word,Luna,Bulán,Bawa,Bulán,Canua,Bulán,Bawa,Bulán,Canua,,,,,,,,b a w a,b a w a,bawa,b u l á n,b u l a n,bulan,c a n u a,k a n u a,kanua
324,273,word,Lungo,Pangián,Enau,Gandgiá<i>ng</i>,Aehenudia,Pangián,Enau,Gandgiáng,Aehenudia,,,,,,,J. S. A. Van Dissel,e n au,e n a:u,ena:u,g a n d gi á n g,j a n d c a n j,jandcanj,ae h e n u d i a,a:e h e n u d i a,a:ehenudia
325,273,word,Ma,Tapi,Ba,Alai,Iòchi,Tapi,Ba,Alai,Iòchi,,,,,,,J. S. A. Van Dissel,b a,b a,ba,a l ai,a l a:i,ala:i,i ò ch i,i O k i,iOki
326,273,word,Macchia,Ciòring,Si ta uno,Rotac,Pachiapa,Ciòring,Si ta uno,Rotac,Pachiapa,,,,,,,J. S. A. Van Dissel,s i # t a # u n o,s i # t a # u n o,si ta uno,r o t a c,r o t a k,rotak,p a ch i a p a,p a k i a p a,pakiapa
327,273,word,Madre,Ma,Ina,Ina,Nai,Ma,Ina,Ina,Nai,,,,,,,,i n a,i n a,ina,i n a,i n a,ina,n ai,n a:i,na:i
328,273,word,Magro,Curús,Angáo,Sowada hapal,Chemá,Curús,Angáo,Sowada hapal,Chemá,,,,,,,J. S. A. Van Dissel,a n g á o,a n j a o,anjao,s o w a d a # h a p a l,s o w a d a # h a p a l,sowada hapal,ch e m á,k e m a,kema
329,273,word,Malato,Sacché,Maf<i>o</i>ch<i>o</i>,Sahít,Capuhu,Sacché,Mafocho,Sahít,Capuhu,,,,,,,,m a f o c h o,m a f o k h o,mafokho,s a h í t,s a h i t,sahit,c a p u h u,k a p u h u,kapuhu
330,273,word,Mandare,Chirím,Mamantenge,Manongós,Uaha ioní,Chirím,Mamantenge,Manongós,Uaha ioní,,,,,,,,m a m a n t e n g e,m a m a n t e n j e,mamantenje,m a n o n g ó s,m a n o n j o s,manonjos,u a h a # i o n í,u a h a # i o n i,uaha ioni
331,273,word,Mangiare,Macán,Manga,Ma<i>ng</i>án,Eonò,Macán,Manga,Mangán,Eonò,,,,,,,,m a n g a,m a n j a,manja,m a n g á n,m a n j a n,manjan,e o n ò,e o n O,eonO
332,273,word,Mangiare,Macán,Manga,Ma<i>ng</i>án,Menò,Macán,Manga,Mangán,Menò,,,,,,,,m a n g a,m a n j a,manja,m a n g á n,m a n j a n,manjan,m e n ò,m e n O,menO
333,273,word,Mangiativi,Macanán,,,Eò,Macanán,,,Eò,,,,,,,,,⁇,⁇,,⁇,⁇,e ò,e O,eO
334,273,word,Mano,Ta<i>ng</i>án,Ta<i>ng</i>a,Ta<i>ng</i>án,Emino apo,Tangán,Tanga,Tangán,Emino apo,,,,,,,,t a n g a,t a n j a,tanja,t a n g á n,t a n j a n,tanjan,e m i n o # a p o,e m i n o # a p o,emino apo
335,273,word,Mare,Laút,Asi,Laut,Euè,Laút,Asi,Laut,Euè,,,,,,,,a s i,a s i,asi,l au t,l a:u t,la:ut,e u è,e u E,euE
336,273,word,Maritarsi,Cawin,Fangowalu,Marhubaio,Pahona,Cawin,Fangowalu,Marhubaio,Pahona,,,,,,GPWR--reciprocal (?),,f a n g o w a l u,f a n j o w a l u,fanjowalu,m a r h u b ai o,m a r h u b a:i o,marhuba:io,p a h o n a,p a h o n a,pahona
