ID,PAGE,TYPE,ITALIAN,MALAY,NIAS,TOBA_BATAK,ENGGANO,MALAY_1,NIAS_1,TOBA_BATAK_1,ENGGANO_1,NIAS_1_rm,TOBA_BATAK_1_sem,TOBA_BATAK_1_rm,ENGGANO_1_sem,ENGGANO_1_rm,REMARK,TOBA_BATAK_SOURCE,nias_TOKEN,nias_TRANSLITERATED,nias_COMMON,toba_batak_TOKEN,toba_batak_TRANSLITERATED,toba_batak_COMMON,ENO_TOKEN,ENO_TRANSLITERATED,ENO_COMMON
63,267,word,Aprire,Bucà,Teboca,Mamuha,Bucae,Bucà,Teboca,Mamuha,Bucae,,,,,,,,t e b o c a,t e b o k a,teboka,m a m u h a,m a m u h a,mamuha,b u c ae,b u k a:e,buka:e
64,267,word,Arco,Pana,,"Dano<rm=""Sanscritto"">","Ea pica<rm=""termine usato dai Malesi"">",Pana,,Dano,Ea pica,,,Sanscritto,,termine usato dai Malesi,,,,⁇,⁇,d a n o,d a n o,dano,e a # p i c a,e a # p i k a,ea pika
65,267,word,Arrampicarsi,Naèc,Lamanu,Matugarang,Ua cabaccò,Naèc,Lamanu,Matugarang,Ua cabaccò,,,,,,,,l a m a n u,l a m a n u,lamanu,m a t u g a r a n g,m a t u j a r a n j,matujaranj,u a # c a b a cc ò,u a # k a b a k O,ua kabakO
66,267,word,Arrampicarsi,Naèc,Lamanu,Matugarang,Uah itgebe ié ecuo,Naèc,Lamanu,Matugarang,Uah itgebe ié ecuo,,,,,,,,l a m a n u,l a m a n u,lamanu,m a t u g a r a n g,m a t u j a r a n j,matujaranj,u a h # i tg e b e # i é # e c u o,u a h # i c e b e # i e # e k u o,uah icebe ie ekuo
67,267,word,Arrampicarsi,Memangiát,Lamanu,Matugarang,Ua cabaccò,Memangiát,Lamanu,Matugarang,Ua cabaccò,,,,,,,,l a m a n u,l a m a n u,lamanu,m a t u g a r a n g,m a t u j a r a n j,matujaranj,u a # c a b a cc ò,u a # k a b a k O,ua kabakO
68,267,word,Arrampicarsi,Memangiát,Lamanu,Matugarang,Uah itgebe ié ecuo,Memangiát,Lamanu,Matugarang,Uah itgebe ié ecuo,,,,,,,,l a m a n u,l a m a n u,lamanu,m a t u g a r a n g,m a t u j a r a n j,matujaranj,u a h # i tg e b e # i é # e c u o,u a h # i c e b e # i e # e k u o,uah icebe ie ekuo
69,267,word,Arrostire,Pangán,Nisala,Manaoc,Pabuha eòbi,Pangán,Nisala,Manaoc,Pabuha eòbi,,,,,,,,n i s a l a,n i s a l a,nisala,m a n ao c,m a n a:o k,mana:ok,p a b u h a # e ò b i,p a b u h a # e O b i,pabuha eObi
70,267,word,Arrostire pollo,Pangán aiam,Fanunu manu,,Cadicorè,Pangán aiam,Fanunu manu,,Cadicorè,,,,,,,,f a n u n u # m a n u,f a n u n u # m a n u,fanunu manu,,⁇,⁇,c a d i c o r è,k a d i k o r E,kadikorE
71,267,word,Asciare legno,Me<i>ng</i>hirís,Laòho òho,Manahil,Ocaca cuo,Menghirís,Laòho òho,Manahil,Ocaca cuo,,,,,,,,l aò h o # ò h o,l a:O h o # O h o,la:Oho Oho,m a n a h i l,m a n a h i l,manahil,o c a c a # c u o,o k a k a # k u o,okaka kuo
72,267,word,Asciare legno,Me<i>ng</i>hirís,Laòho òho,Manarangsáng,Ocaca cuo,Menghirís,Laòho òho,Manarangsáng,Ocaca cuo,,,,,,,,l aò h o # ò h o,l a:O h o # O h o,la:Oho Oho,m a n a r a n g s á n g,m a n a r a n j s a n j,manaranjsanj,o c a c a # c u o,o k a k a # k u o,okaka kuo
73,267,word,Asciugare,Menapù,Ogò<i>o</i>,Mangunsilát,Bacaáia,Menapù,Ogòo,Mangunsilát,Bacaáia,,,,,,,,o g ò o,o j O o,ojOo,m a n g u n s i l á t,m a n j u n s i l a t,manjunsilat,b a c a á i a,b a k a a i a,bakaaia
74,267,word,A sinistra,Sabla chiri,Ba gabèra,Hambiráng,Albaca,Sabla chiri,Ba gabèra,Hambiráng,Albaca,,,,,,,,b a # g a b è r a,b a # j a b E r a,ba jabEra,h a m b i r á n g,h a m b i r a n j,hambiranj,a l b a c a,a l b a k a,albaka
75,267,word,Aspettare,Tongo,Labalobalói,Pa ima hon,Naahapé,Tongo,Labalobalói,Pa ima hon,Naahapé,,,,,,,,l a b a l o b a l ó i,l a b a l o b a l o i,labalobaloi,p a # i m a # h o n,p a # i m a # h o n,pa ima hon,n a a h a p é,n a a h a p e,naahape
76,267,word,Assassinare,Bunù,Búnu,Mamunu,Pacahalé,Bunù,Búnu,Mamunu,Pacahalé,,,,,,,,b ú n u,b u n u,bunu,m a m u n u,m a m u n u,mamunu,p a c a h a l é,p a k a h a l e,pakahale
77,267,word,Atap,Atáp,Bulu sago,,Prururu èuba,Atáp,Bulu sago,,Prururu èuba,,,,,,,,b u l u # s a g o,b u l u # s a j o,bulu sajo,,⁇,⁇,p r u r u r u # è u b a,p r u r u r u # E u b a,prururu Euba
78,267,word,Attaccare,Tambát,,Gantú<i>ng</i>,Paraiá,Tambát,,Gantúng,Paraiá,,,,,,,,,⁇,⁇,g a n t ú n g,j a n t u n j,jantunj,p a r ai á,p a r a:i a,para:ia
79,267,word,Attaccare,Icát,,Gantú<i>ng</i>,Paraiá,Icát,,Gantúng,Paraiá,,,,,,,,,⁇,⁇,g a n t ú n g,j a n t u n j,jantunj,p a r ai á,p a r a:i a,para:ia
80,267,word,Attaccare,Gantú<i>ng</i>,,Gantú<i>ng</i>,Paraiá,Gantúng,,Gantúng,Paraiá,,,,,,,,,⁇,⁇,g a n t ú n g,j a n t u n j,jantunj,p a r ai á,p a r a:i a,para:ia
81,267,word,Avambraccio,La<i>ng</i>án,,Ta<i>ng</i>án,Ehoachia,Langán,,Tangán,Ehoachia,,,,,,,J. S. A. Van Dissel,,⁇,⁇,t a n g á n,t a n j a n,tanjan,e h o a ch i a,e h o a k i a,ehoakia
82,267,word,Avambraccio,Ta<i>ng</i>án,,Ta<i>ng</i>án,Ehoachia,Tangán,,Tangán,Ehoachia,,,,,,,J. S. A. Van Dissel,,⁇,⁇,t a n g á n,t a n j a n,tanjan,e h o a ch i a,e h o a k i a,ehoakia
83,267,word,Avere,Ada,So,Mamoiòp,Chichía,Ada,So,Mamoiòp,Chichía,,,,,,,J. S. A. Van Dissel,s o,s o,so,m a m o i ò p,m a m o i O p,mamoiOp,ch i ch í a,k i k i a,kikia
84,267,word,Avere (Non …),Tida ada,,Dan adon,Chèoba,Tida ada,,Dan adon,Chèoba,,,,,,,,,⁇,⁇,d a n # a d o n,d a n # a d o n,dan adon,ch è o b a,k E o b a,kEoba
85,267,word,Aver fame,Lepar,Olófo,Rapar,Coignó,Lepar,Olófo,Rapar,Coignó,,,,,,,,o l ó f o,o l o f o,olofo,r a p a r,r a p a r,rapar,c o i gn ó,k o i ñ o,koiño
86,267,word,Aver fastidi,Ada susa,D<i>o</i>d<i>o</i> bucala,,Cucubahu,Ada susa,Dodo bucala,,Cucubahu,,,,,,,,d o d o # b u c a l a,d o d o # b u k a l a,dodo bukala,,⁇,⁇,c u c u b a h u,k u k u b a h u,kukubahu
87,268,word,Aver sete,Berdahaga,D<i>o</i>d<i>o</i> odufo dufo,Manguwás,Chibo,Berdahaga,Dodo odufo dufo,Manguwás,Chibo,,,,,,,J. S. A. Van Dissel,d o d o # o d u f o # d u f o,d o d o # o d u f o # d u f o,dodo odufo dufo,m a n g u w á s,m a n j u w a s,manjuwas,ch i b o,k i b o,kibo
88,268,word,Azzuffarsi,Berpráng,Fasóndra,Manghinsadái,Bacai,Berpráng,Fasóndra,Manghinsadái,Bacai,,,,,,,,f a s ó n d r a,f a s o n d r a,fasondra,m a n g h i n s a d á i,m a n j h i n s a d a i,manjhinsadai,b a c ai,b a k a:i,baka:i
89,268,word,Azzuffarsi,Berpukúl,Fasóndra,Manghinsadái,Bacai,Berpukúl,Fasóndra,Manghinsadái,Bacai,,,,,,,,f a s ó n d r a,f a s o n d r a,fasondra,m a n g h i n s a d á i,m a n j h i n s a d a i,manjhinsadai,b a c ai,b a k a:i,baka:i
90,268,word,Baciare,Ciúm,Agombáva,Mangúmma,Manu,Ciúm,Agombáva,Mangúmma,Manu,,,,,,,J. S. A. Van Dissel,a g o m b á v a,a j o m b a v a,ajombava,m a n g ú m m a,m a n j u m m a,manjumma,m a n u,m a n u,manu
91,268,word,Baffi,Misèi,Bumbèwe,Gumis,Pruru ripodia,Misèi,Bumbèwe,Gumis,Pruru ripodia,,,,,,,J. S. A. Van Dissel,b u m b è w e,b u m b E w e,bumbEwe,g u m i s,j u m i s,jumis,p r u r u # r i p o d i a,p r u r u # r i p o d i a,pruru ripodia
92,268,word,Baffi,Misèi,Bumbèwe,Misè *,Pruru ripodia,Misèi,Bumbèwe,Misè *,Pruru ripodia,,,,,,,J. S. A. Van Dissel,b u m b è w e,b u m b E w e,bumbEwe,m i s è # *,m i s E # *,misE *,p r u r u # r i p o d i a,p r u r u # r i p o d i a,pruru ripodia
93,268,word,Bagaglio,Barang²,Fasoro,Barang²,Dobu,Barang²,Fasoro,Barang²,Dobu,,,,,,,J. S. A. Van Dissel,f a s o r o,f a s o r o,fasoro,b a r a n g ²,b a r a n j ²,baranj²,d o b u,d o b u,dobu
94,268,word,Bagnarsi,Mandi,Mondri,Maridi,Baèche,Mandi,Mondri,Maridi,Baèche,,,,,,,J. S. A. Van Dissel,m o n d r i,m o n d r i,mondri,m a r i d i,m a r i d i,maridi,b aè ch e,b a:e k e,ba:eke
95,268,word,Bagno,Tampát mandi,Ba’a vemóndri,,Ebo iaha baèche,Tampát mandi,Ba’a vemóndri,,Ebo iaha baèche,,,,,,,J. S. A. Van Dissel,b a ’ a # v e m ó n d r i,b a ' a # v e m o n d r i,ba'a vemondri,,⁇,⁇,e b o # i a h a # b aè ch e,e b o # i a h a # b a:e k e,ebo iaha ba:eke
96,268,word,Ballo donne,Menari,Manari,Manortòr,Maenu cahora,Menari,Manari,Manortòr,Maenu cahora,,,,,,,,m a n a r i,m a n a r i,manari,m a n o r t ò r,m a n o r t O r,manortOr,m ae n u # c a h o r a,m a:e n u # k a h o r a,ma:enu kahora
97,268,word,Ballo uomini,Menari,Maulèia,Manortòr,Maenu cahora,Menari,Maulèia,Manortòr,Maenu cahora,,,,,,,,m au l è i a,m a:u l E i a,ma:ulEia,m a n o r t ò r,m a n o r t O r,manortOr,m ae n u # c a h o r a,m a:e n u # k a h o r a,ma:enu kahora
98,268,word,Bambini,Anac,Iraòno,Dacdanac,Pamo,Anac,Iraòno,Dacdanac,Pamo,,,,,,,,i r aò n o,i r a:O n o,ira:Ono,d a c d a n a c,d a k d a n a k,dakdanak,p a m o,p a m o,pamo
99,268,word,Bambini,Anac,Iraòno,Dacdanac,Epa,Anac,Iraòno,Dacdanac,Epa,,,,,,,,i r aò n o,i r a:O n o,ira:Ono,d a c d a n a c,d a k d a n a k,dakdanak,e p a,e p a,epa
100,268,word,Bambù,Bulu,Léwu,Bulu,Abeha,Bulu,Léwu,Bulu,Abeha,,,,,,,,l é w u,l e w u,lewu,b u l u,b u l u,bulu,a b e h a,a b e h a,abeha
101,268,word,Bambù per attingere acqua,Garighíc,Cole²,Poti<i>ng</i>,Enoà,Garighíc,Cole²,Poting,Enoà,,,,,,,,c o l e ²,k o l e ²,kole²,p o t i n g,p o t i n j,potinj,e n o à,e n o a,enoa
102,268,word,Bambù per attingere acqua,Chendí,Cole²,Poti<i>ng</i>,Enoà,Chendí,Cole²,Poting,Enoà,,,,,,,,c o l e ²,k o l e ²,kole²,p o t i n g,p o t i n j,potinj,e n o à,e n o a,enoa
103,268,word,Banane,Pisa<i>ng</i>,Bae,Gaol,Eígio,Pisang,Bae,Gaol,Eígio,,,,,,,,b ae,b a:e,ba:e,g ao l,j a:o l,ja:ol,eí gi o,e:i c o,e:ico
104,268,word,Banco di corallo,Cara<i>ng</i>án,Gozo,"Hará<i>ng</i><rm=""dal malese"">",Eèa,Carangán,Gozo,Haráng,Eèa,,,dal malese,,,,J. S. A. Van Dissel,g o z o,j o z o,jozo,h a r á n g,h a r a n j,haranj,e è a,e E a,eEa
105,268,word,Barattare,Tocar,Fatucao,Paubahon,Pachèli,Tocar,Fatucao,Paubahon,Pachèli,,,,,,,,f a t u c ao,f a t u k a:o,fatuka:o,p au b a h o n,p a:u b a h o n,pa:ubahon,p a ch è l i,p a k E l i,pakEli
106,268,word,Barba,Gia<i>ng</i>gút,,Giangút,Prururu ipo,Gianggút,,Giangút,Prururu ipo,,,,,,,J. S. A. Van Dissel,,⁇,⁇,gi a n g ú t,c a n j u t,canjut,p r u r u r u # i p o,p r u r u r u # i p o,prururu ipo
107,268,word,Barba a punta,Gia<i>ng</i>gút pangiá<i>ng</i>,Gambi,Giangút,Prururu chidía,Gianggút pangiáng,Gambi,Giangút,Prururu chidía,,,,,,,J. S. A. Van Dissel,g a m b i,j a m b i,jambi,gi a n g ú t,c a n j u t,canjut,p r u r u r u # ch i d í a,p r u r u r u # k i d i a,prururu kidia
108,268,word,Barba a sulle guance,Tciambá<i>ng</i>,R<i>o</i>ng<i>o</i>,Banc,,Tciambáng,Rongo,Banc,,,,,,,,J. S. A. Van Dissel,r o n g o,r o n j o,ronjo,b a n c,b a n k,bank,,⁇,⁇
109,268,word,Barca a remi,Prau daiúng,Dundráha,Sòlu,Elòha,Prau daiúng,Dundráha,Sòlu,Elòha,,,,,,,,d u n d r á h a,d u n d r a h a,dundraha,s ò l u,s O l u,sOlu,e l ò h a,e l O h a,elOha
110,268,word,Barca a vela,Prau laiár,Owo solòio,Pindís,,Prau laiár,Owo solòio,Pindís,,,,,,,,J. S. A. Van Dissel,o w o # s o l òi o,o w o # s o l o:i o,owo solo:io,p i n d í s,p i n d i s,pindis,,⁇,⁇
111,268,word,Basta ǃ,Sampé,Noá,Sappè,Abacochía,Sampé,Noá,Sappè,Abacochía,,,,,,,,n o á,n o a,noa,s a p p è,s a p p E,sappE,a b a c o ch í a,a b a k o k i a,abakokia
112,268,word,Bastantemente,Pada,Tob<i>o</i>no,Pala,Abóha,Pada,Tobono,Pala,Abóha,,,,,,,J. S. A. Van Dissel,t o b o n o,t o b o n o,tobono,p a l a,p a l a,pala,a b ó h a,a b o h a,aboha
113,268,word,Bello,Bagús,S<i>o</i>chi,Dengán,Cáua,Bagús,Sochi,Dengán,Cáua,,,,,,,,s o ch i,s o k i,soki,d e n g á n,d e n j a n,denjan,c á u a,k a u a,kaua
114,268,word,Bere,Minúm,Famadu,Manhinúm,Baigiòho,Minúm,Famadu,Manhinúm,Baigiòho,,,,,,,,f a m a d u,f a m a d u,famadu,m a n h i n ú m,m a n h i n u m,manhinum,b ai gi ò h o,b a:i c O h o,ba:icOho
115,268,word,Bianco,Putí,Afusi,Bottar,Caudáhio,Putí,Afusi,Bottar,Caudáhio,,,,,,,,a f u s i,a f u s i,afusi,b o t t a r,b o t t a r,bottar,c au d á h i o,k a:u d a h i o,ka:udahio
116,268,word,Bocca,Mulút,Bava,Bawa,Eca,Mulút,Bava,Bawa,Eca,,,,,,,,b a v a,b a v a,bava,b a w a,b a w a,bawa,e c a,e k a,eka
117,268,word,Braccialetto,Gla<i>ng</i> Ta<i>ng</i>án,Aia mbul<i>o</i>cha,Lèa<i>ng</i>,Chinacò,Glang Tangán,Aia mbulocha,Lèang,Chinacò,,,,,,,,ai a # m b u l o c h a,a:i a # m b u l o k h a,a:ia mbulokha,l è a n g,l E a n j,lEanj,ch i n a c ò,k i n a k O,kinakO
118,268,word,Braccio,La<i>ng</i>án,Siu,Gólang,Apo,Langán,Siu,Gólang,Apo,,,,,,,J. S. A. Van Dissel,s i u,s i u,siu,g ó l a n g,j o l a n j,jolanj,a p o,a p o,apo
119,268,word,Braccio,La<i>ng</i>án,Siu,Gólang,Earahaori,Langán,Siu,Gólang,Earahaori,,,,,,,J. S. A. Van Dissel,s i u,s i u,siu,g ó l a n g,j o l a n j,jolanj,e a r a h ao r i,e a r a h a:o r i,earaha:ori
120,268,word,Braccio,Ta<i>ng</i>án,Siu,Gólang,Apo,Tangán,Siu,Gólang,Apo,,,,,,,J. S. A. Van Dissel,s i u,s i u,siu,g ó l a n g,j o l a n j,jolanj,a p o,a p o,apo
121,268,word,Braccio,Ta<i>ng</i>án,Siu,Gólang,Earahaori,Tangán,Siu,Gólang,Earahaori,,,,,,,J. S. A. Van Dissel,s i u,s i u,siu,g ó l a n g,j o l a n j,jolanj,e a r a h ao r i,e a r a h a:o r i,earaha:ori
122,268,word,Bramare,Succá,Uhalo,Haghi iòt,Cahápi,Succá,Uhalo,Haghi iòt,Cahápi,,,,,,,,u h a l o,u h a l o,uhalo,h a g h i # i ò t,h a j h i # i O t,hajhi iOt,c a h á p i,k a h a p i,kahapi
123,268,word,Bramare,Succá,Uhalo,Ra,Cahápi,Succá,Uhalo,Ra,Cahápi,,,,,,,,u h a l o,u h a l o,uhalo,r a,r a,ra,c a h á p i,k a h a p i,kahapi
124,268,word,Brivido di febbre,Gelugút sebáb demóm,Otu²,Manghirgir,Eoho,Gelugút sebáb demóm,Otu²,Manghirgir,Eoho,,,,,,,,o t u ²,o t u ²,otu²,m a n g h i r gi r,m a n j h i r c r,manjhircr,e o h o,e o h o,eoho
125,268,word,Bruciare (Cucinare troppo),Bacar,Acògi,Masac,Bachíco,Bacar,Acògi,Masac,Bachíco,,,,,,,,a c ò gi,a k O c,akOc,m a s a c,m a s a k,masak,b a ch í c o,b a k i k o,bakiko
126,268,word,Bruciare (Cucinare troppo),Bacar,Acògi,Gor,Bachíco,Bacar,Acògi,Gor,Bachíco,,,,,,,,a c ò gi,a k O c,akOc,g o r,j o r,jor,b a ch í c o,b a k i k o,bakiko
127,268,word,Bruciare,Ber<i>ng</i>ala,Atunu,Matutúng,Cachíco,Berngala,Atunu,Matutúng,Cachíco,,,,,,,,a t u n u,a t u n u,atunu,m a t u t ú n g,m a t u t u n j,matutunj,c a ch í c o,k a k i k o,kakiko
128,268,word,Brutto,Burúc,L<i>o</i> s<i>o</i>chi,Dae,Chioha,Burúc,Lo sochi,Dae,Chioha,,,,,,,,l o # s o ch i,l o # s o k i,lo soki,d ae,d a:e,da:e,ch i o h a,k i o h a,kioha
129,268,word,Bucar orecchi,Mentciutciúc teli<i>ng</i>a,Latogi,Manombúe,Caricu cariahadía,Mentciutciúc telinga,Latogi,Manombúe,Caricu cariahadía,,,,,,,,l a t o gi,l a t o c,latoc,m a n o m b ú e,m a n o m b u e,manombue,c a r i c u # c a r i a h a d í a,k a r i k u # k a r i a h a d i a,kariku kariahadia
130,268,word,Buio,Glap,Agomigómi,Bot,Capòpo elòpo,Glap,Agomigómi,Bot,Capòpo elòpo,,,,,,,,a g o m i g ó m i,a j o m i j o m i,ajomijomi,b o t,b o t,bot,c a p ò p o # e l ò p o,k a p O p o # e l O p o,kapOpo elOpo
131,269,word,Buono,Bagús,S<i>o</i>chi,Dengán,Cáua,Bagús,Sochi,Dengán,Cáua,,,,,,,,s o ch i,s o k i,soki,d e n g á n,d e n j a n,denjan,c á u a,k a u a,kaua
132,269,word,Buttar via,Buáng,,Mandangurhón,Epacúa,Buáng,,Mandangurhón,Epacúa,,,,,,,,,⁇,⁇,m a n d a n g u r h ó n,m a n d a n j u r h o n,mandanjurhon,e p a c ú a,e p a k u a,epakua
133,269,word,Cacciare,Membúru,Memòlo,Marburu,"Bacocòi ebèo iahiacúe<sem=""col cane"">",Membúru,Memòlo,Marburu,Bacocòi ebèo iahiacúe,,,,col cane,,,,m e m ò l o,m e m O l o,memOlo,m a r b u r u,m a r b u r u,marburu,b a c o c òi # e b è o # i a h i a c ú e,b a k o k o:i # e b E o # i a h i a k u e,bakoko:i ebEo iahiakue
134,269,word,Cacciare,Membúru,Memòlo,Marburu,"Cabacocòi ba buru còio<sem=""senza cane"">",Membúru,Memòlo,Marburu,Cabacocòi ba buru còio,,,,senza cane,,,,m e m ò l o,m e m O l o,memOlo,m a r b u r u,m a r b u r u,marburu,c a b a c o c òi # b a # b u r u # c òi o,k a b a k o k o:i # b a # b u r u # k o:i o,kabakoko:i ba buru ko:io
135,269,word,Cadere,Giatò,Aèchu,Madabu,Capunda,Giatò,Aèchu,Madabu,Capunda,,,,,,,,aè c h u,a:e k h u,a:ekhu,m a d a b u,m a d a b u,madabu,c a p u n d a,k a p u n d a,kapunda
136,269,word,Caldo,Panás,Aucu,Las,Cadodohodi,Panás,Aucu,Las,Cadodohodi,,,,,,,,au c u,a:u k u,a:uku,l a s,l a s,las,c a d o d o h o d i,k a d o d o h o d i,kadodohodi
137,269,word,Calpestare,Banti<i>ng</i> cachí,Fam<i>o</i>r<i>o</i> salo,Mamolnat,Chichidi,Banting cachí,Famoro salo,Mamolnat,Chichidi,,,,,,GPWR--I change the italics tagging with dash for ease of the use of the Keyman IPA keyboard,,f a m o r o # s a l o,f a m o r o # s a l o,famoro salo,m a m o l n a t,m a m o l n a t,mamolnat,ch i ch i d i,k i k i d i,kikidi
138,269,word,Cammino (via),Gialán,Lala,,Ecò,Gialán,Lala,,Ecò,,,,,,,,l a l a,l a l a,lala,,⁇,⁇,e c ò,e k O,ekO
139,269,word,Campo,Ládang,,Ladang,Epíia,Ládang,,Ladang,Epíia,,,,,,,,,⁇,⁇,l a d a n g,l a d a n j,ladanj,e p í i a,e p i i a,epiia
140,269,word,Campo,Ládang,,Gimma,Epíia,Ládang,,Gimma,Epíia,,,,,,,,,⁇,⁇,gi m m a,c m m a,cmma,e p í i a,e p i i a,epiia
141,269,word,Cane,Angi<i>ng</i>,Asso,Asu,Eapí,Anging,Asso,Asu,Eapí,,,,,,,,a s s o,a s s o,asso,a s u,a s u,asu,e a p í,e a p i,eapi
142,269,word,Cane,Angi<i>ng</i>,Asso,Asu,Ebèo,Anging,Asso,Asu,Ebèo,,,,,,,,a s s o,a s s o,asso,a s u,a s u,asu,e b è o,e b E o,ebEo
143,269,word,Canna da zucchro,Tébu,Tòbu,Tobu,Enaio,Tébu,Tòbu,Tobu,Enaio,,,,,,,,t ò b u,t O b u,tObu,t o b u,t o b u,tobu,e n ai o,e n a:i o,ena:io
144,269,word,Canto,Gnagní,Fanúno,Ende,Bahora,Gnagní,Fanúno,Ende,Bahora,,,,,,,,f a n ú n o,f a n u n o,fanuno,e n d e,e n d e,ende,b a h o r a,b a h o r a,bahora
145,269,word,Capelli,Rambút,Bu,Obu,Pruru ulu,Rambút,Bu,Obu,Pruru ulu,,,,,,,,b u,b u,bu,o b u,o b u,obu,p r u r u # u l u,p r u r u # u l u,pruru ulu
146,269,word,Capelli,Rambút,Bu,Obu,Pruru uru,Rambút,Bu,Obu,Pruru uru,,,,,,,,b u,b u,bu,o b u,o b u,obu,p r u r u # u r u,p r u r u # u r u,pruru uru
147,269,word,Capire,Mongartí,D<i>o</i>d<i>o</i> m<i>o</i>i,Mangantusi,Pahoiá,Mongartí,Dodo moi,Mangantusi,Pahoiá,,,,,,,,d o d o # m o i,d o d o # m o i,dodo moi,m a n g a n t u s i,m a n j a n t u s i,manjantusi,p a h o i á,p a h o i a,pahoia
148,269,word,Carestia,Clapáran,Lofo,Haleon,Chèoba eonai mèhe,Clapáran,Lofo,Haleon,Chèoba eonai mèhe,,,,,,,,l o f o,l o f o,lofo,h a l e o n,h a l e o n,haleon,ch è o b a # e o n ai # m è h e,k E o b a # e o n a:i # m E h e,kEoba eona:i mEhe
149,269,word,Carne,Daghin,Nagòle,Giuhut,Hela,Daghin,Nagòle,Giuhut,Hela,,,,,,,,n a g ò l e,n a j O l e,najOle,gi u h u t,c u h u t,cuhut,h e l a,h e l a,hela
150,269,word,Caro (prezzo),Mahál,Ibua boli,Rarang,Mocoli,Mahál,Ibua boli,Rarang,Mocoli,,,,,,,,i b u a # b o l i,i b u a # b o l i,ibua boli,r a r a n g,r a r a n j,raranj,m o c o l i,m o k o l i,mokoli
151,269,word,Casa,Rúma,Omo,Bagas,Èuba,Rúma,Omo,Bagas,Èuba,,,,,,,,o m o,o m o,omo,b a g a s,b a j a s,bajas,è u b a,E u b a,Euba
152,269,word,Casa,Rúma,Omo,Bagas,Cacario,Rúma,Omo,Bagas,Cacario,,,,,,,,o m o,o m o,omo,b a g a s,b a j a s,bajas,c a c a r i o,k a k a r i o,kakario
153,269,word,Cattivo,Giahát,L<i>o</i> s<i>o</i>chi,Rowa,Ibu,Giahát,Lo sochi,Rowa,Ibu,,,,,,,,l o # s o ch i,l o # s o k i,lo soki,r o w a,r o w a,rowa,i b u,i b u,ibu
154,269,word,Cercare,Ciari,Fanáo,Lulu,Bahoari,Ciari,Fanáo,Lulu,Bahoari,,,,,,,,f a n á o,f a n a o,fanao,l u l u,l u l u,lulu,b a h o a r i,b a h o a r i,bahoari
155,269,word,Cesta,Bacul,Raga²,Ampa<i>ng</i>,Eorae,Bacul,Raga²,Ampang,Eorae,,,,,,,,r a g a ²,r a j a ²,raja²,a m p a n g,a m p a n j,ampanj,e o r ae,e o r a:e,eora:e
156,269,word,Cesta,Bacul,Raga²,Ampa<i>ng</i>,Eunèche,Bacul,Raga²,Ampang,Eunèche,,,,,,,,r a g a ²,r a j a ²,raja²,a m p a n g,a m p a n j,ampanj,e u n è ch e,e u n E k e,eunEke
157,269,word,Cesta,Bacul,Raga²,Si gurup,Eorae,Bacul,Raga²,Si gurup,Eorae,,,,,,,,r a g a ²,r a j a ²,raja²,s i # g u r u p,s i # j u r u p,si jurup,e o r ae,e o r a:e,eora:e
158,269,word,Cesta,Bacul,Raga²,Si gurup,Eunèche,Bacul,Raga²,Si gurup,Eunèche,,,,,,,,r a g a ²,r a j a ²,raja²,s i # g u r u p,s i # j u r u p,si jurup,e u n è ch e,e u n E k e,eunEke
159,269,word,Chiamare (per nome),Memanghíl de<i>ng</i>án namá,,Margowar,Ahadi,Memanghíl dengán namá,,Margowar,Ahadi,,,,,,,,,⁇,⁇,m a r g o w a r,m a r j o w a r,marjowar,a h a d i,a h a d i,ahadi
160,269,word,Chiamare,Panghil,Fagaoni,Mamigio,Ahadi,Panghil,Fagaoni,Mamigio,Ahadi,,,,,,,,f a g ao n i,f a j a:o n i,faja:oni,m a m i gi o,m a m i c o,mamico,a h a d i,a h a d i,ahadi
161,269,word,Chiedere,Minta,Fanòfu,Manuccun,Manunuhi,Minta,Fanòfu,Manuccun,Manunuhi,,,,,,,,f a n ò f u,f a n O f u,fanOfu,m a n u cc u n,m a n u k u n,manukun,m a n u n u h i,m a n u n u h i,manunuhi
162,269,word,Cieco,Buta,Abòto h<i>o</i>r<i>o</i>,Pitung,Machene,Buta,Abòto horo,Pitung,Machene,,,,,,,,a b ò t o # h o r o,a b O t o # h o r o,abOto horo,p i t u n g,p i t u n j,pitunj,m a ch e n e,m a k e n e,makene
163,269,word,Ciglio,Bulu mata,,Imbulu ni mata,Epruru baca,Bulu mata,,Imbulu ni mata,Epruru baca,,,,,,,,,⁇,⁇,i m b u l u # n i # m a t a,i m b u l u # n i # m a t a,imbulu ni mata,e p r u r u # b a c a,e p r u r u # b a k a,epruru baka
164,269,word,Cignale,Babí hútan,,Dalu,Ecòio,Babí hútan,,Dalu,Ecòio,,,,,,,,,⁇,⁇,d a l u,d a l u,dalu,e c òi o,e k o:i o,eko:io
165,269,word,Cocco (Albero di),Pohun clapá,Ohi,Negiur,Carahapò,Pohun clapá,Ohi,Negiur,Carahapò,,,,,,,,o h i,o h i,ohi,n e gi u r,n e c u r,necur,c a r a h a p ò,k a r a h a p O,karahapO
166,269,word,Cocco (Noce di),Búa clapá,Bánio,Migior,Epò,Búa clapá,Bánio,Migior,Epò,,,,,,,,b á n i o,b a n i o,banio,m i gi o r,m i c o r,micor,e p ò,e p O,epO
